input: [SCENE]: scene_context,output: [OUTCOME]: outcome_description
input: [SCENE]: You are trying to determine if a powerful artifact is cursed.,"output: [OUTCOME]: When you reach out with your senses, you are hit with a wave of pure malevolence. The object is not just cursed, it is a vessel for a powerful evil entity."
input: [SCENE]: You are trying to determine if a powerful artifact is cursed.,"output: [OUTCOME]: The artifact is ancient and powerful, but your divine sense detects no evil in it. It appears to be safe."
input: [SCENE]: You are trying to identify a poison by its taste.,"output: [OUTCOME]: You recognize the bitter, almond-like taste of Cyanide, a fast-acting and deadly poison."
input: [SCENE]: You are trying to identify a poison by its taste.,"output: [OUTCOME]: The poison has no taste at all, which is in itself a terrifying discovery. You have no idea what it is, only that it is expertly made."
"input: [SCENE]: You are in a crowded tavern, and someone insults your honor.","output: [OUTCOME]: You feel a flash of rage, but you master it. You know that a tavern brawl is a fool's errand. You turn your back on the man and finish your drink."
"input: [SCENE]: You are in a crowded tavern, and someone insults your honor.","output: [OUTCOME]: The insult is too much to bear. Your honor demands satisfaction. You let out a roar of rage and flip the table, challenging the man to a fight."
input: [SCENE]: You are trying to cast a spell in an area of wild magic.,"output: [OUTCOME]: You are able to impose your will on the chaotic magic. Your spell works as intended, without any strange side effects."
input: [SCENE]: You are trying to cast a spell in an area of wild magic.,"output: [OUTCOME]: The wild magic overwhelms your spell. Instead of a fireball, you summon a shower of harmless blue frogs."
input: [SCENE]: You are trying to win a poetry contest.,"output: [OUTCOME]: Your sonnet is a masterpiece of meter and metaphor. The audience is spellbound, and you easily win the contest."
input: [SCENE]: You are trying to win a poetry contest.,output: [OUTCOME]: Your poem is full of cliches and forced rhymes. The audience gives you a polite but unenthusiastic round of applause.
"input: [SCENE]: You are trying to find a specific holy text in a massive, disorganized library.","output: [OUTCOME]: You know the text was written by a specific sect from a specific era, which allows you to ignore most of the library and focus your search on a single, dusty wing. You find the book."
"input: [SCENE]: You are trying to find a specific holy text in a massive, disorganized library.","output: [OUTCOME]: The library is a chaotic mess, with books from a hundred different faiths and sects all mixed together. Your specialized knowledge is of no use here."
input: [SCENE]: You are trying to find the North Star to get your bearings.,"output: [OUTCOME]: The night is clear, and you easily spot the North Star, allowing you to determine which way is north and get your bearings."
input: [SCENE]: You are trying to find the North Star to get your bearings.,"output: [OUTCOME]: The sky is overcast, and you cannot see the stars. You have no way of knowing which direction is which."
input: [SCENE]: You are trying to convince a group of cultists that you are a prophet of their dark god.,"output: [OUTCOME]: Your display of power and your strange, prophetic words are enough to convince the cultists. They kneel before you, believing you to be a chosen one."
input: [SCENE]: You are trying to convince a group of cultists that you are a prophet of their dark god.,"output: [OUTCOME]: Your magic is impressive, but your knowledge of their dogma is flawed. The cult's high priest denounces you as a heretic and an impostor."
input: [SCENE]: You are trying to determine if a captured soldier will remain loyal to their kingdom.,"output: [OUTCOME]: You see in the soldier's eyes not fanaticism, but fear and doubt. Their loyalty is to their comrades, not their king. They can be turned."
input: [SCENE]: You are trying to determine if a captured soldier will remain loyal to their kingdom.,output: [OUTCOME]: The soldier is a true believer in their cause. You see nothing but unwavering loyalty in their eyes. They will never betray their kingdom.
input: [SCENE]: You are trying to douse a spreading fire.,"output: [OUTCOME]: You gather the moisture in the air and are able to create a small, intense rain shower that douses the flames."
input: [SCENE]: You are trying to douse a spreading fire.,"output: [OUTCOME]: You are unable to gather enough moisture from the hot, dry air. Your spell produces only a weak, misty drizzle that does nothing to stop the fire."
input: [SCENE]: You are trying to catch a fly with chopsticks.,"output: [OUTCOME]: Your hand is a blur. The chopsticks snap together, and you have caught the fly by its wings, completely unharmed."
input: [SCENE]: You are trying to catch a fly with chopsticks.,"output: [OUTCOME]: The fly is impossibly fast, and it easily evades your attempts to catch it, buzzing mockingly around your head."
input: [SCENE]: You are trying to create a magical glue.,"output: [OUTCOME]: You create a sovereign glue, a magical substance that can permanently bond any two objects together."
input: [SCENE]: You are trying to create a magical glue.,"output: [OUTCOME]: You create an incredibly effective solvent instead. The beaker you were using to mix it dissolves, and the contents spill all over your work table."
input: [SCENE]: You are trying to break a magical chain.,output: [OUTCOME]: You channel your divine might into your weapon. The resulting blow is so powerful that it shatters the magical chain into a thousand pieces.
input: [SCENE]: You are trying to break a magical chain.,"output: [OUTCOME]: The chain is made of a strange, magic-resistant metal. Your divinely empowered strike does nothing but create a few sparks."
input: [SCENE]: You are at a tense parley between two rival factions you wish to unite.,"output: [OUTCOME]: They take the bait completely, believing your fabricated intelligence. Their strategic position now seems weaker, and they agree to the truce."
