input: [CHECK]: check_required[PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You cause a flower to bloom in your hand. The dryad, recognizing you as a true friend of the forest, agrees to help you."
input: [CHECK]: Nature[PASS/FAIL]: Fail,"output: [OUTCOME]: Your connection to the forest is strong, but the dryad sees all outsiders, even other druids, as a potential threat. She refuses to help you."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: The spy, who expected to be tortured and executed, is shocked by your offer. Seeing a way out of their dangerous life, they agree to tell you everything."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The spy is too loyal to their cause. They see your offer as a trick and refuse to cooperate, choosing death before dishonor."
input: [CHECK]: History[PASS/FAIL]: Pass,output: [OUTCOME]: You realize the enemy general always uses the same flanking maneuver when faced with this type of terrain. You are able to prepare a devastating counter-attack.
input: [CHECK]: History[PASS/FAIL]: Fail,output: [OUTCOME]: The enemy general is a brilliant and unpredictable tactician who has never used the same strategy twice. You have no idea what they are planning.
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You focus a jet of intense, controlled flame on the wooden bar. It turns to ash in seconds, and the way is clear."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: Your fire magic erupts uncontrollably, not only burning the bar but also setting the entire door and the wall around it ablaze."
input: [CHECK]: Constitution[PASS/FAIL]: Pass,output: [OUTCOME]: You take a tiny bite and immediately detect the bitter taste and the slight numbing effect of Nightshade poison. You spit it out before it can harm you.
input: [CHECK]: Constitution[PASS/FAIL]: Fail,"output: [OUTCOME]: The poison is tasteless, odorless, and fast-acting. By the time you realize it's poisoned, it's already too late, and you feel the effects beginning to take hold."
input: [CHECK]: Tinker's Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: You successfully bypass the ignition sequence. The construct's eyes glow to life, and its massive gears begin to turn. You are in control."
input: [CHECK]: Tinker's Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: You cross the wrong wires. The power core shorts out with a massive flash, leaving the construct completely and permanently inert."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: With a prayer on your lips, you hold the crushing weight of the ceiling, your muscles screaming in protest, but you do not buckle. The last of the villagers escapes."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: The ceiling is too heavy. You are able to slow its collapse for a precious few seconds, but you are ultimately unable to stop it."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: Your cut is perfect. The coins spill across the cobblestones, and in the ensuing chaos of people scrambling for the money, you make your escape."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: The merchant feels the cut and immediately grabs your wrist. 'Thief!' he shouts, and now the entire bazaar is watching you."
input: [CHECK]: Stealth[PASS/FAIL]: Pass,"output: [OUTCOME]: You move with surprising silence, using the contours of the ice to hide your approach. You are able to get close enough to strike."
input: [CHECK]: Stealth[PASS/FAIL]: Fail,"output: [OUTCOME]: The ice crunches loudly under your weight. The seal is startled and immediately dives into the freezing water, gone in an instant."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: The spell is successful. The metal is 'Adamantine,' a rare and incredibly durable substance that is immune to critical hits."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: The metal is so magically dense that it resists your spell. The identification fails, telling you nothing."
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: Your portrayal of a bumbling fool is so convincing that the nobles openly mock you and, in the process, gossip freely, revealing the secrets you wanted to know."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: Your accent is all wrong, and you don't know the proper etiquette. The nobles immediately recognize you as an impostor and have you thrown out."
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: You feel a warm, gentle, and unmistakably holy aura coming from the relic. It is genuine, a true piece of your faith's history."
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: The object feels... empty. There is no aura, holy or unholy. It is a well-made but mundane replica, a clever fake."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You find a single, black feather caught on a high branch and notice a series of deep gouges on the cliff face. You know which way it went."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The creature is a silent and careful hunter. It leaves no trace of its passage through the sky, and the trail is impossible to follow."
input: [CHECK]: Deception[PASS/FAIL]: Pass,output: [OUTCOME]: Your pact has changed you. Your blood is now so infused with strange magic that it is able to fool the ancient blood-lock. The door opens.
input: [CHECK]: Deception[PASS/FAIL]: Fail,"output: [OUTCOME]: The lock is keyed to a specific genetic and magical signature. Your blood is powerful, but it is not the correct key. The door remains sealed."
input: [CHECK]: Insight[PASS/FAIL]: Pass,output: [OUTCOME]: You realize this position gives a clear line of sight to the enemy's weakest flank and is easily defensible. It is the key to winning the battle.
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The hill provides a good view, but it is also exposed and offers no cover. Taking this position would be a tactical blunder."
input: [CHECK]: Forgery Kit[PASS/FAIL]: Pass,"output: [OUTCOME]: Your forgery is perfect, down to the last detail of the handwriting and the wax seal. When the other crime boss receives it, they fly into a rage. The gang war has begun."
input: [CHECK]: Forgery Kit[PASS/FAIL]: Fail,output: [OUTCOME]: You make a small mistake in the forged signature. The crime boss recognizes it as a fake and realizes someone is trying to play them. They now both view you as a common enemy.
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: Their style is wild and unpredictable, but you realize they always leave their left side exposed after a certain spinning attack. You have found your opening."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: Their fighting style is pure chaos. There is no pattern, no rhyme or reason to it. You are unable to predict their moves and are constantly on the defensive."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: A tiny, invisible gust of wind nudges the book, and it falls from the shelf into your waiting hands. No one is the wiser."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: Your control slips, and the small gust becomes a powerful blast of wind that sends every book on the shelf flying across the room."
input: [CHECK]: Constitution[PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your inner energy, and a warm glow spreads through your body, protecting you from the deadly cold of the blizzard."
input: [CHECK]: Constitution[PASS/FAIL]: Fail,"output: [OUTCOME]: The blizzard is too powerful. It saps your strength and your ki, and the deadly cold begins to creep into your bones."
input: [CHECK]: History[PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the runes not as writing, but as a schematic for a complex water pump system used to drain a mine. The entire room is a set of instructions."
input: [CHECK]: History[PASS/FAIL]: Fail,output: [OUTCOME]: The runes are from an obscure clan of dwarves whose dialect is unknown to you. They are just meaningless markings on the wall.
input: [CHECK]: Religion[PASS/FAIL]: Pass,output: [OUTCOME]: Your knowledge of the holy texts and your unwavering faith are impressive. The high priest recognizes you as a true champion of the faith and offers their full support.
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: The high priest is a stuffy academic who cares more about dogma than true faith. They see your practical, battle-worn faith as simplistic and heretical."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You identify a narrow section between two boulders that will force the goblins into a single-file line, neutralizing their numerical advantage."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,output: [OUTCOME]: The pass is a chaotic jumble of rocks; there is no single ideal spot to make a stand. You'll have to rely on pure strength of arms.
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: You flick the stone perfectly. It lands on the tile, which immediately shoots a jet of fire towards the ceiling. You've identified a trapped square."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: Your toss is clumsy. The stone bounces off the intended tile and lands on the one next to it, giving you no information about the square you were testing."
input: [CHECK]: Intelligence[PASS/FAIL]: Pass,"output: [OUTCOME]: You successfully memorize the pattern of the shifting trees: two left turns, a right, then straight. You know the way through, for now."
input: [CHECK]: Intelligence[PASS/FAIL]: Fail,output: [OUTCOME]: The shifting is too random and fast. You are unable to find any discernible pattern and are hopelessly lost in the magical woods.
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: Your words are filled with genuine grief and respect. The other mourners are moved by your eulogy, which brings them a small measure of comfort."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: You are too overcome with your own grief to speak eloquently. You stumble over your words, unable to do your friend's memory justice."
input: [CHECK]: Smith's Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: You have a practiced hand. You carefully sharpen the blade, restoring its keen, battle-ready edge."
input: [CHECK]: Smith's Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: You apply the wrong angle with the whetstone, and the blade's edge becomes even more blunted and uneven. The weapon is now in worse shape."
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: Your keen eyes spot a small, vibrant green patch of moss growing on the side of a cliff. You've found a hidden spring."
input: [CHECK]: Survival[PASS/FAIL]: Fail,output: [OUTCOME]: The entire region is barren rock and dust. You search for hours but find no signs of water anywhere.
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: With a roar of defiance, you flex your muscles, and the iron links of the chains strain and then snap apart. You are free."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: The chains were forged by master smiths. Despite your incredible strength, they hold firm, cutting into your wrists."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You spot several tiny carbon flecks inside the gem, the tell-tale sign of a genuine, natural diamond. It's the real deal."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The gem is completely flawless, which is suspicious. It's either the most perfect diamond in the world, or a very well-made glass fake. You can't be sure."
