input:  [ACTION]: player_input [CHECK]: check_required [PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input:  [ACTION]: I use my sheer endurance to withstand the cold. [CHECK]: Constitution [PASS/FAIL]: Fail,"output: [OUTCOME]: Even your incredible endurance has its limits. The deadly cold seeps into your bones, and you begin to succumb to hypothermia."
input:  [ACTION]: I try to charm the guard with a flirtatious smile. [CHECK]: Deception [PASS/FAIL]: Pass,output: [OUTCOME]: The guard is completely smitten by your charms. They are so flustered that they forget all about their duty and let you pass.
input:  [ACTION]: I try to charm the guard with a flirtatious smile. [CHECK]: Deception [PASS/FAIL]: Fail,output: [OUTCOME]: The guard is either happily married or completely immune to your charms. They are not amused by your attempt and tell you to move along.
input:  [ACTION]: I try to find the book among the charred remains. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: It's a long shot, but you find the book! It is heavily damaged, but the section you were looking for is miraculously still legible."
input:  [ACTION]: I try to find the book among the charred remains. [CHECK]: Investigation [PASS/FAIL]: Fail,output: [OUTCOME]: The fire was too destructive. The section of the library where the book would have been is nothing but ash and cinders. The book is lost forever.
input:  [ACTION]: I try to reveal the hag's true nature to the villagers. [CHECK]: Persuasion [PASS/FAIL]: Pass,"output: [OUTCOME]: You present undeniable proof of the hag's evil deeds. The villagers, their eyes opened to the truth, turn on the creature that has been preying on them."
input:  [ACTION]: I try to reveal the hag's true nature to the villagers. [CHECK]: Persuasion [PASS/FAIL]: Fail,output: [OUTCOME]: The hag has the villagers completely fooled. They see you as a dangerous outsider and the hag as their beloved healer. They refuse to listen to your 'lies'.
"input:  [ACTION]: I try to issue clear, simple commands to direct the soldiers. [CHECK]: Performance [PASS/FAIL]: Pass","output: [OUTCOME]: Your commands are clear and confident. The soldiers, who were panicked and disorganized, rally to your leadership and form a solid defensive line."
"input:  [ACTION]: I try to issue clear, simple commands to direct the soldiers. [CHECK]: Performance [PASS/FAIL]: Fail","output: [OUTCOME]: Your commands are lost in the chaos of the battle. The inexperienced soldiers break and run, leaving you to face the enemy alone."
input:  [ACTION]: I look for a suitable cave or overhang to wait out the storm. [CHECK]: Perception [PASS/FAIL]: Pass,"output: [OUTCOME]: You spot a dry, sheltered cave just off the main path. It's the perfect place to wait for the storm to pass."
input:  [ACTION]: I look for a suitable cave or overhang to wait out the storm. [CHECK]: Perception [PASS/FAIL]: Fail,output: [OUTCOME]: You are caught in an open field with no shelter in sight. You'll have to endure the full force of the storm.
input:  [ACTION]: I use my rage to fuel my strength and bend the bars. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: With a furious roar, you grip the iron bars and bend them just far enough apart to squeeze through. You are free."
input:  [ACTION]: I use my rage to fuel my strength and bend the bars. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The iron bars are too thick and well-made. Even with your incredible, rage-fueled strength, they refuse to budge."
input:  [ACTION]: I try to conceal the object in a hidden pocket. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,output: [OUTCOME]: You expertly palm the object and slip it into a hidden pocket in the lining of your cloak. It is completely hidden.
input:  [ACTION]: I try to conceal the object in a hidden pocket. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,output: [OUTCOME]: You fumble the object as you try to hide it. It falls from your hand and clatters on the floor in plain sight.
input:  [ACTION]: I cast an 'Identify' spell on the item. [CHECK]: Arcana [PASS/FAIL]: Pass,output: [OUTCOME]: The spell is successful. You learn the item's properties and also discover a malevolent curse that afflicts anyone who attunes to it.
input:  [ACTION]: I cast an 'Identify' spell on the item. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: The item is protected by a powerful, deceptive magic. Your 'Identify' spell reveals only its beneficial properties, while the curse remains hidden."
input:  [ACTION]: I search my memory for the story of the saint. [CHECK]: Religion [PASS/FAIL]: Pass,"output: [OUTCOME]: You recall the story of Saint Cuthbert of the Cudgel, a pragmatic and gruff saint known for his straightforward solutions to complex problems."
input:  [ACTION]: I search my memory for the story of the saint. [CHECK]: Religion [PASS/FAIL]: Fail,"output: [OUTCOME]: There are hundreds of saints in your faith, and their stories all begin to blend together. You can't recall the specific details of this one."
"input:  [ACTION]: I inspect the blade for balance, weight, and craftsmanship. [CHECK]: Investigation [PASS/FAIL]: Pass","output: [OUTCOME]: You recognize the master smith's mark on the blade and can feel its perfect balance. This is a high-quality, masterwork weapon."
"input:  [ACTION]: I inspect the blade for balance, weight, and craftsmanship. [CHECK]: Investigation [PASS/FAIL]: Fail","output: [OUTCOME]: The sword looks nice, but it feels poorly balanced and the steel seems to be of a lower quality. It is a showpiece, not a real weapon."
input:  [ACTION]: I use the position of the moon and stars to find my way. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: The night is clear, and you are able to use the celestial bodies to navigate the forest with ease."
input:  [ACTION]: I use the position of the moon and stars to find my way. [CHECK]: Survival [PASS/FAIL]: Fail,"output: [OUTCOME]: The forest canopy is too thick, obscuring the night sky. You are unable to see the moon or stars and are forced to guess which way to go."
input:  [ACTION]: I try to swim across the powerful current. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: You dive into the river and swim with powerful, steady strokes. The current is strong, but you are stronger, and you make it to the other side."
input:  [ACTION]: I try to swim across the powerful current. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The current is a churning, angry monster. It grabs you and pulls you under, and you are swept downstream, unable to fight it."
input:  [ACTION]: I try to distribute my weight to avoid the squeaky board. [CHECK]: Stealth [PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully test the floorboards, find the one that squeaks, and then expertly place your weight on the surrounding boards to get past it silently."
input:  [ACTION]: I try to distribute my weight to avoid the squeaky board. [CHECK]: Stealth [PASS/FAIL]: Fail,"output: [OUTCOME]: You misjudge which board is the squeaky one. You put your full weight on it, and it lets out a loud, long squeak that echoes in the silent house."
input:  [ACTION]: I try to cast a 'Calm Emotions' spell on the creature. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: Your spell is successful. A wave of tranquility washes over the creature, and its panic subsides."
input:  [ACTION]: I try to cast a 'Calm Emotions' spell on the creature. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: The creature is a being of pure chaos, and your spell, which targets normal emotional states, has no effect on it."
input:  [ACTION]: I use my faith and fortitude to fight off the illness. [CHECK]: Constitution [PASS/FAIL]: Pass,"output: [OUTCOME]: Your body is strong, and your faith is stronger. You are able to fight off the disease and recover quickly."
input:  [ACTION]: I use my faith and fortitude to fight off the illness. [CHECK]: Constitution [PASS/FAIL]: Fail,"output: [OUTCOME]: The disease is too virulent. Despite your best efforts, you succumb to the illness, becoming weak and feverish."
input:  [ACTION]: I watch their formations and discipline. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: Their movements are precise and disciplined. They are a well-drilled, professional army that will be a formidable opponent."
input:  [ACTION]: I watch their formations and discipline. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: They are a sloppy, disorganized rabble. They have the numbers, but they lack the discipline of a true army. They will break easily."
input:  [ACTION]: I use my knowledge of animals to train the dog. [CHECK]: Animal Handling [PASS/FAIL]: Pass,output: [OUTCOME]: You are a patient and skilled trainer. The dog quickly learns your commands and becomes a loyal and effective hunting companion.
input:  [ACTION]: I use my knowledge of animals to train the dog. [CHECK]: Animal Handling [PASS/FAIL]: Fail,"output: [OUTCOME]: The dog is too wild and independent. It refuses to listen to your commands, and you are unable to train it."
input:  [ACTION]: I try to make sense of the confusing legal language. [CHECK]: Intelligence [PASS/FAIL]: Pass,"output: [OUTCOME]: Though it is a struggle, you are able to parse the dense legal text and understand the basic terms of the contract."
input:  [ACTION]: I try to make sense of the confusing legal language. [CHECK]: Intelligence [PASS/FAIL]: Fail,output: [OUTCOME]: The document is a dizzying maze of 'wherefores' and 'heretofores.' You have no idea what it says and are forced to find someone to translate it into plain language.
input:  [ACTION]: I use my forgery kit to copy the signature. [CHECK]: Forgery Kit [PASS/FAIL]: Pass,output: [OUTCOME]: You have a natural talent for mimicry. Your forged signature is a perfect match for the original.
input:  [ACTION]: I use my forgery kit to copy the signature. [CHECK]: Forgery Kit [PASS/FAIL]: Fail,"output: [OUTCOME]: Your hand is not steady enough. The forged signature is close, but not close enough to fool a careful inspection."
input:  [ACTION]: I use my magical knowledge to analyze the orb. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the orb as a 'Scrying Eye,' a magical surveillance device used to spy on distant locations."
input:  [ACTION]: I use my magical knowledge to analyze the orb. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: The orb is made of an unknown material and hums with a strange, alien magic. You have no idea what it is or what it does."
input:  [ACTION]: I try to give them a reason to hope again. [CHECK]: Persuasion [PASS/FAIL]: Pass,output: [OUTCOME]: Your words of comfort and your unwavering faith are a beacon in their darkness. You are able to give them the hope they need to carry on.
input:  [ACTION]: I try to give them a reason to hope again. [CHECK]: Persuasion [PASS/FAIL]: Fail,output: [OUTCOME]: The person is too deep in their despair to be reached. Your words of hope sound hollow and meaningless to them.
